vx,vy,v_out,ideal,err
-0.95,0.4,1.3116002,1.3030317553286563,0.008568444671343656
-0.9,0.4,1.33136279,1.322860391614754,0.008502398385245913
-0.85,0.4,1.35213617,1.3437056638228817,0.00843050617711838
-0.8,0.4,1.37397194,1.3656196959913767,0.008352244008623222
-0.75,0.4,1.39692439,1.3886572846151697,0.00826710538483022
-0.7,0.4,1.42105052,1.4128760356655645,0.008174484334435572
-0.65,0.4,1.44641028,1.438336508635171,0.008073771364829119
-0.6,0.4,1.47306664,1.4651023679681814,0.007964272031818709
-0.55,0.4,1.50108579,1.4932405422546418,0.00784524774535833
-0.5,0.4,1.53053729,1.5228213915867883,0.007715898413211741
-0.45,0.4,1.56149423,1.5539188834959283,0.007575346504071767
-0.4,0.4,1.59403342,1.5866107779097942,0.007422642090205711
-0.35,0.4,1.62823559,1.6209788215928684,0.007256768407131631
-0.3,0.4,1.66418554,1.6571089525558729,0.0070765874441272025
-0.25,0.4,1.70197243,1.6950915149455599,0.0068809150544402176
-0.2,0.4,1.74168989,1.7350214849521368,0.006668405047863146
-0.15,0.4,1.78343635,1.776998708299213,0.006437641700786978
-0.1,0.4,1.82731523,1.8211281499101144,0.006187080089885555
-0.05,0.4,1.87343517,1.867520156374869,0.005915013625131138
2.91433544e-16,0.4,1.92191035,1.916290731874155,0.005619618125844994
0.05,0.4,1.97286072,1.967561828250179,0.0052988917498209
0.1,0.4,2.02641231,2.021461649949803,0.004950660050197175
0.15,0.4,2.08269755,2.078124974602438,0.004572575397561618
0.2,0.4,2.14185556,2.1376934900343247,0.0041620699656754745
0.25,0.4,2.20403251,2.2003161485618965,0.0037163614381032772
0.3,0.4,2.26938193,2.2661495394501583,0.0032323905498419236
0.35,0.4,2.33806515,2.3353582804674122,0.0027068695325875858
0.4,0.4,2.41025163,2.4081154295154255,0.002136200484574413
0.45,0.4,2.48611939,2.484602917364324,0.0015164726356760028
0.5,0.4,2.56585542,2.5650120025742833,0.0008434174257168081
0.55,0.4,2.64965615,2.64954374974155,0.00011240025845005164
0.6,0.4,2.73772791,2.7384095322646638,-0.0006816222646639503
0.65,0.4,2.83028739,2.8318315608880513,-0.001544170888051255
0.7,0.4,2.92756221,2.9300434393446317,-0.0024812293446316858
0.75,0.4,3.02979142,3.03329074848683,-0.003499328486829878
0.8,0.4,3.13722606,3.141831660366623,-0.004605600366622831
0.85,0.4,3.25012981,3.255937583800146,-0.005807773800146077
0.9,0.4,3.36877951,3.375893843031105,-0.00711433303110498
0.95,0.4,3.4934659,3.502000391190001,-0.008534491190001159
1.0,0.4,3.62449427,3.6345725603332,-0.01007829033320018
-1.0,0.5,1.06738282,1.0610266217313877,0.006356198268612223
-0.95,0.5,1.08618377,1.0798882040144466,0.006295565985553475
-0.9,0.5,1.10594636,1.0997168403005444,0.00622951969945551
-0.85,0.5,1.12671973,1.120562112508672,0.006157617491328038
-0.8,0.5,1.14855551,1.142476144677167,0.006079365322833041
-0.75,0.5,1.17150796,1.16551373330096,0.0059942266990400395
-0.7,0.5,1.19563409,1.1897324843513548,0.0059016056486451696
-0.65,0.5,1.22099385,1.2151929573209612,0.005800892679038716
-0.6,0.5,1.24765021,1.2419588166539717,0.005691393346028306
-0.55,0.5,1.27566936,1.270096990940432,0.005572369059567928
-0.5,0.5,1.30512086,1.2996778402725786,0.005443019727421339
-0.45,0.5,1.3360778,1.3307753321817186,0.0053024678182813645
-0.4,0.5,1.36861699,1.3634672265955845,0.0051497634044155305
-0.35,0.5,1.40281916,1.3978352702786587,0.004983889721341228
-0.3,0.5,1.43876911,1.4339654012416632,0.0048037087583368
-0.25,0.5,1.47655599,1.4719479636313502,0.004608026368649876
-0.2,0.5,1.51627346,1.511877933637927,0.004395526362072966
-0.15,0.5,1.55801992,1.5538551569850032,0.004164763014996797
-0.1,0.5,1.6018988,1.5979845985959047,0.003914201404095374
-0.05,0.5,1.64801874,1.6443766050606592,0.0036421349393407354
2.91433544e-16,0.5,1.69649391,1.6931471805599454,0.003346729440054652
0.05,0.5,1.74744428,1.7444182769359693,0.00302600306403078
0.1,0.5,1.80099588,1.798318098635593,0.0026777813644069948
0.15,0.5,1.85728112,1.8549814232882285,0.0022996967117714373
0.2,0.5,1.91643913,1.914549938720115,0.0018891912798850719
0.25,0.5,1.97861607,1.9771725972476868,0.0014434727523131574
0.3,0.5,2.0439655,2.0430059881359486,0.000959511864051521
0.35,0.5,2.11264872,2.1122147291532025,0.00043399084679762723
0.4,0.5,2.1848352,2.1849718782012157,-0.00013667820121554541
0.45,0.5,2.26070296,2.261459366050114,-0.0007564060501139558
0.5,0.5,2.34043899,2.3418684512600736,-0.0014294612600735945
0.55,0.5,2.42423972,2.4264001984273404,-0.002160478427340351
0.6,0.5,2.51231147,2.515265980950454,-0.002954510950453848
0.65,0.5,2.60487096,2.6086880095738416,-0.0038170495738416577
0.7,0.5,2.70214578,2.706899888030422,-0.004754108030422088
0.75,0.5,2.80437498,2.81014719717262,-0.00577221717262022
0.8,0.5,2.91180963,2.9186881090524133,-0.006878479052413233
0.85,0.5,3.02471337,3.032794032485936,-0.008080662485935974
0.9,0.5,3.14336307,3.1527502917168952,-0.009387221716895322
0.95,0.5,3.26804947,3.2788568398757914,-0.010807369875791561
1.0,0.5,3.39907783,3.4114290090189905,-0.012351179018990521
-1.0,0.6,0.883223176,0.8787050649374331,0.004518111062566943
-0.95,0.6,0.902024121,0.897566647220492,0.004457473779508003
-0.9,0.6,0.921786717,0.9173952835065898,0.004391433493410202
-0.85,0.6,0.942560088,0.9382405557147173,0.004319532285282701
-0.8,0.6,0.964395865,0.9601545878832123,0.004241277116787678
-0.75,0.6,0.987348309,0.9831921765070054,0.004156132492994624
-0.7,0.6,1.01147445,1.0074109275574004,0.004063522442599554
-0.65,0.6,1.0368342,1.0328714005270068,0.0039627994729931615
-0.6,0.6,1.06349057,1.059637259860017,0.003853310139982913
-0.55,0.6,1.09150972,1.0877754341464774,0.0037342858535225343
-0.5,0.6,1.12096121,1.1173562834786241,0.003604926521375784
-0.45,0.6,1.15191815,1.1484537753877642,0.00346437461223581
-0.4,0.6,1.18445735,1.18114566980163,0.003311680198369915
-0.35,0.6,1.21865951,1.2155137134847043,0.0031457965152956735
-0.3,0.6,1.25460947,1.2516438444477087,0.0029656255522911845
-0.25,0.6,1.29239635,1.2896264068373955,0.0027699431626044824
-0.2,0.6,1.33211381,1.3295563768439727,0.002557433156027411
-0.15,0.6,1.37386028,1.3715336001910485,0.002326679808951404
-0.1,0.6,1.41773915,1.4156630418019502,0.0020761081980498197
-0.05,0.6,1.46385909,1.4620550482667047,0.0018040417332951808
2.91433544e-16,0.6,1.51233427,1.510825623765991,0.0015086462340090367
0.05,0.6,1.56328464,1.5620967201420148,0.0011879198579851646
0.1,0.6,1.61683623,1.6159965418416384,0.0008396881583616622
0.15,0.6,1.67312148,1.6726598664942738,0.000461613505726266
0.2,0.6,1.73227949,1.7322283819261606,5.110807383945648e-05
0.25,0.6,1.79445643,1.7948510404537321,-0.00039461045373201387
0.3,0.6,1.85980585,1.860684431341994,-0.0008785813419938115
0.35,0.6,1.92848907,1.9298931723592478,-0.0014041023592479274
0.4,0.6,2.00067555,2.002650321407261,-0.001974771407260878
0.45,0.6,2.07654331,2.079137809256159,-0.0025944992561592883
0.5,0.6,2.15627934,2.1595468944661187,-0.003267554466118483
0.55,0.6,2.24008007,2.244078641633386,-0.003998571633386128
0.6,0.6,2.32815183,2.3329444241564996,-0.0047925941564996855
0.65,0.6,2.42071131,2.426366452779887,-0.00565514277988699
0.7,0.6,2.51798613,2.5245783312364676,-0.006592201236467421
0.75,0.6,2.62021534,2.6278256403786653,-0.007610300378665169
0.8,0.6,2.72764999,2.736366552258459,-0.008716562258458627
0.85,0.6,2.84055373,2.8504724756919817,-0.009918745691981812
0.9,0.6,2.95920343,2.9704287349229404,-0.011225304922940271
0.95,0.6,3.08388982,3.0965352830818365,-0.01264546308183645
1.0,0.6,3.21491819,3.229107452225036,-0.014189262225035915
-1.0,0.7,0.727530566,0.7245543851101748,0.0029761808898252085
-0.95,0.7,0.746331512,0.7434159673932337,0.0029155446067663515
-0.9,0.7,0.766094107,0.7632446036793316,0.0028495033206684672
