t,v_out
7.85629677e-06,1.64044933
7.90629677e-06,1.64042936
7.95629677e-06,1.64041062
8.00629677e-06,1.64039337
8.05629677e-06,1.64037779
8.10629677e-06,1.64036403
8.15629677e-06,1.64035215
8.20629677e-06,1.64034221
8.25629677e-06,1.64033417
8.30629677e-06,1.64032801
8.35629677e-06,1.64032362
8.40629677e-06,1.64032091
8.45629677e-06,1.64031974
8.50629677e-06,1.64031997
8.55629677e-06,1.64032143
8.60629677e-06,1.64032394
8.65629677e-06,1.64032735
8.70629677e-06,1.64033149
8.75629677e-06,1.64033617
8.80629677e-06,1.64034125
8.85629677e-06,1.64034658
8.90629677e-06,1.64035202
8.95629677e-06,1.64035744
9.00629677e-06,1.64036273
9.05629677e-06,1.64036781
9.10629677e-06,1.64037258
9.15629677e-06,1.64037699
9.20629677e-06,1.64038099
9.25629677e-06,1.64038453
9.30629677e-06,1.64038761
9.35629677e-06,1.6403902
9.40629677e-06,1.64039231
9.45629677e-06,1.64039395
9.50629677e-06,1.64039514
9.55629677e-06,1.6403959
9.60629677e-06,1.64039628
9.65629677e-06,1.64039629
9.70629677e-06,1.640396
9.75629677e-06,1.64039542
9.80629677e-06,1.64039462
9.85629677e-06,1.64039363
9.90629677e-06,1.64039249
9.95629677e-06,1.64039125
1.00062968e-05,1.64038994
1.00562968e-05,1.64038859
1.01062968e-05,1.64038725
1.01562968e-05,1.64038593
1.02062968e-05,1.64038465
1.02562968e-05,1.64038346
1.03062968e-05,1.64038234
1.03562968e-05,1.64038133
1.04062968e-05,1.64038043
1.04562968e-05,1.64037965
1.05062968e-05,1.64037899
1.05562968e-05,1.64037844
1.06062968e-05,1.64037802
1.06562968e-05,1.6403777
1.07062968e-05,1.6403775
1.07562968e-05,1.64037739
1.08062968e-05,1.64037737
1.08562968e-05,1.64037743
1.09062968e-05,1.64037757
1.09562968e-05,1.64037776
1.10062968e-05,1.640378
1.10562968e-05,1.64037828
1.11062968e-05,1.64037859
