va,vb,vc,v_int,v_out,ideal_int,ideal_out,err,int_err
-1.0,1.3,1.5,0.101880871,0.693574932,0.10551517670395127,0.705817861899348,-0.012242929899348054,-0.0036343057039512766
-0.8,1.3,1.5,0.182649699,0.786052789,0.1869646996497305,0.8001196186274697,-0.014066829627469746,-0.004315000649730505
-0.6,1.3,1.5,0.281251369,0.909386062,0.28644737162653533,0.9262229733641036,-0.01683691136410359,-0.0051960026265353565
-0.4,1.3,1.5,0.401616296,1.07739746,0.40795578156814827,1.0982755585376258,-0.02087809853762579,-0.006339485568148284
-0.2,1.3,1.5,0.548538114,1.31165216,0.5563664886104908,1.338857846278272,-0.027205686278272134,-0.007828374610490796
-1.66533454e-16,1.3,1.5,0.727861895,1.64899687,0.7376357355325087,1.6855209137834082,-0.03652404378340823,-0.009773840532508737
-1.0,1.7,1.5,-0.16764717,0.433559803,-0.16274880989072804,0.4443395160152275,-0.010779713015227455,-0.004898360109271971
-0.8,1.7,1.5,-0.0868783385,0.504265448,-0.08129928694494881,0.5164526241014382,-0.012187176101438268,-0.005579051555051187
-0.6,1.7,1.5,0.011723336,0.598725468,0.018183385031856014,0.6128846012529818,-0.014159133252981793,-0.006460049031856013
-0.4,1.7,1.5,0.132088268,0.727307037,0.13969179497346895,0.7444542252092046,-0.017147188209204578,-0.007603526973468944
-0.2,1.7,1.5,0.279010095,0.906647488,0.28810250201581145,0.9284289158344048,-0.021781427834404843,-0.009092407015811432
-1.66533454e-16,1.7,1.5,0.458333887,1.16423143,0.4693717489378294,1.1935242027500972,-0.029292772750097118,-0.011037861937829407
0.2,1.7,1.5,0.677184786,1.54767104,0.6907745070979995,1.5897951700975563,-0.042124130097556334,-0.013589721097999496
-1.0,2.0999999999999996,1.5,-0.379945541,0.272642788,-0.3740579035579348,0.28247196856315293,-0.009829180563152906,-0.005887637442065219
-0.8,2.0999999999999996,1.5,-0.299176707,0.329866079,-0.29260838061215555,0.34084924653770454,-0.010983167537704563,-0.0065683263878444365
-0.6,2.0999999999999996,1.5,-0.20057503,0.406317424,-0.19312570863535072,0.41891322804133513,-0.012595804041335146,-0.007449321364649264
-0.4,2.0999999999999996,1.5,-0.0802100938,0.51039087,-0.07161729869373779,0.5254219712439916,-0.01503110124399154,-0.008592795106262222
-0.2,2.0999999999999996,1.5,0.0667117377,0.655559335,0.07679340834860471,0.674353863654868,-0.01879452865486808,-0.010081670648604713
-1.66533454e-16,2.0999999999999996,1.5,0.246035537,0.864084454,0.25806265527062267,0.8889548102056666,-0.024870356205666577,-0.012027118270622666
0.2,2.0999999999999996,1.5,0.464886447,1.17454166,0.47946541343079274,1.209745593296467,-0.03520393329646687,-0.014578966430792761
0.4,2.0999999999999996,1.5,0.731947129,1.65738942,0.7498873529118932,1.711296448048307,-0.05390702804830716,-0.017940223911893205
-1.0,2.5,1.5,-0.555114452,0.163250828,-0.5484112907027128,0.17240203629574202,-0.009151208295742036,-0.006703161297287208
-0.8,2.5,1.5,-0.474345617,0.211305128,-0.46696176775693354,0.2214389497943653,-0.010133821794365283,-0.007383849243066454
-0.6,2.5,1.5,-0.375743938,0.27540144,-0.3674790957801287,0.28701269425741505,-0.011611254257415049,-0.008264842219871282
-0.4,2.5,1.5,-0.255378999,0.362911986,-0.24597068583851578,0.37648003854764645,-0.013568052547646425,-0.009408313161484216
-0.2,2.5,1.5,-0.108457164,0.48483463,-0.09755997879617329,0.5015828281727827,-0.01674819817278267,-0.01089718520382671
-1.66533454e-16,2.5,1.5,0.0708666407,0.659981478,0.08370926812584467,0.6818476232754533,-0.021866145275453386,-0.012842627425844674
0.2,2.5,1.5,0.289717558,0.920771656,0.30511202628601475,0.9513118810717256,-0.030540225071725602,-0.015394468286014762
0.4,2.5,1.5,0.556778251,1.3264363,0.5755339657671152,1.3726145990632712,-0.04617829906327131,-0.01875571476711524
