t,v_out
1.70604e-05,1.64392662
1.71104e-05,1.64392662
1.71604e-05,1.64392662
1.72104e-05,1.64392662
1.72604e-05,1.64392662
1.73104e-05,1.64392662
1.73604e-05,1.64392662
1.74104e-05,1.64392662
1.74604e-05,1.64392662
1.75104e-05,1.64392662
1.75604e-05,1.64392662
1.76104e-05,1.64392662
1.76604e-05,1.64392662
1.77104e-05,1.64392662
1.77604e-05,1.64392662
1.78104e-05,1.64392662
1.78604e-05,1.64392662
1.79104e-05,1.64392662
1.79604e-05,1.64392662
1.80104e-05,1.64392662
1.80604e-05,1.64392662
1.81104e-05,1.64392662
1.81604e-05,1.64392662
1.82104e-05,1.64392662
1.82604e-05,1.64392662
1.83104e-05,1.64392662
1.83604e-05,1.64392662
1.84104e-05,1.64392662
1.84604e-05,1.64392662
1.85104e-05,1.64392662
1.85604e-05,1.64392662
1.86104e-05,1.64392662
1.86604e-05,1.64392662
1.87104e-05,1.64392662
1.87604e-05,1.64392662
1.88104e-05,1.64392662
1.88604e-05,1.64392662
1.89104e-05,1.64392662
1.89604e-05,1.64392662
1.90104e-05,1.64392662
1.90604e-05,1.64392662
1.91104e-05,1.64392662
1.91604e-05,1.64392662
1.92104e-05,1.64392662
1.92604e-05,1.64392662
1.93104e-05,1.64392662
1.93604e-05,1.64392662
1.94104e-05,1.64392662
1.94604e-05,1.64392662
1.95104e-05,1.64392662
1.95604e-05,1.64392662
1.96104e-05,1.64392662
1.96604e-05,1.64392662
1.97104e-05,1.64392662
1.97604e-05,1.64392662
1.98104e-05,1.64392662
1.98604e-05,1.64392662
1.99104e-05,1.64392662
1.99604e-05,1.64392662
2e-05,1.64392662
